index,scenario,test_size,scaling,model,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,kappa_mean,kappa_std,roc_auc_ovr_mean,roc_auc_ovr_std
10,binary,0.3,none,SVM,0.9866666666666666,0.0015713484026367431,0.9866116114770878,0.0015849527394948926,0.9643646980637401,0.004236480036963158,0.9923668431835886,0.001255491646954234
11,binary,0.3,none,XGBoost,0.9830555555555556,0.0035355339059327017,0.9829943266368698,0.003561598660601416,0.9547587807710276,0.009508769173381783,0.991230338218641,0.0013538481354253933
12,binary,0.3,robust,DT,0.9533333333333334,0.003142696805273565,0.9533041067461852,0.0027571678493401625,0.8761566289251126,0.006295334627554163,0.9260641744833771,0.0035304193685322957
13,binary,0.3,robust,Hybrid KNN-SVM,0.9825,0.0019641855032959585,0.9823706139176007,0.001983528175950692,0.9529358422050931,0.005306925815308806,0.9923635703111193,0.000461696928234782
14,binary,0.3,robust,Hybrid SVM-DT,0.9586111111111111,0.0019641855032959585,0.9585754294195348,0.0018043564426120217,0.8900933041806429,0.004364257879712432,0.9904620314064843,0.0003899545484087843
15,binary,0.3,robust,KNN,0.9713888888888889,0.0011785113019776065,0.9709453036785785,0.0011882629775572958,0.9219004607317428,0.003175506113799261,0.9892420681935707,0.0020886289610620866
16,binary,0.3,robust,SVM,0.9844444444444445,0.000785674201318352,0.9843630871062558,0.0007813416396704329,0.9583371634560724,0.0020608984523351557,0.9921794712347238,0.0008007375296704916
17,binary,0.3,robust,XGBoost,0.9830555555555556,0.0035355339059327017,0.9829943266368698,0.003561598660601416,0.9547587807710276,0.009508769173381783,0.991230338218641,0.0013538481354253933
18,binary,0.3,standard,DT,0.9533333333333334,0.003142696805273565,0.9533041067461852,0.0027571678493401625,0.8761566289251126,0.006295334627554163,0.9260641744833771,0.0035304193685322957
19,binary,0.3,standard,Hybrid KNN-SVM,0.9819444444444444,0.0019641855032959585,0.981803867390884,0.0019844718685591892,0.9514058062699913,0.005311659528034408,0.992404481216985,0.0006491528239090479
20,binary,0.3,standard,Hybrid SVM-DT,0.9586111111111111,0.0019641855032959585,0.9585754294195348,0.0018043564426120217,0.8900933041806429,0.004364257879712432,0.9904808504231823,0.0005554248760718757
21,binary,0.3,standard,KNN,0.9711111111111111,0.0,0.9706568659383265,3.450200967404866e-05,0.9211115395926674,0.0001677490147654987,0.9896810422135092,0.0015349397877280986
22,binary,0.3,standard,SVM,0.9847222222222223,0.0003928371006591367,0.984645186810577,0.00038239241187792305,0.9590959409103504,0.000987825085672288,0.9921581975636737,0.0009812506143937962
23,binary,0.3,standard,XGBoost,0.9830555555555556,0.0035355339059327017,0.9829943266368698,0.003561598660601416,0.9547587807710276,0.009508769173381783,0.991230338218641,0.0013538481354253933
24,multi_class,0.3,minmax,DT,0.7387037037037036,0.015451592625928334,0.7341321930240144,0.015364910688664852,0.6735629094443453,0.020361836014619997,0.8643619358219113,0.022109945723392962
25,multi_class,0.3,minmax,Hybrid KNN-SVM,0.9425925925925926,0.005237828008789288,0.9414816847710648,0.005621180874340618,0.9285237043073455,0.006496056593810996,0.9898142098352389,0.0011514935947012563
