scenario,repeat,seed,test_size,scaling,model,accuracy,f1_weighted,kappa,roc_auc_ovr
binary,1,43,0.3,none,SVM,0.9855555555555555,0.9854908806471308,0.9613690543012421,0.9914790765263042
binary,1,43,0.3,none,KNN,0.9811111111111112,0.9809680476937115,0.9491832789738344,0.9910266019074302
binary,1,43,0.3,none,XGBoost,0.9855555555555555,0.985512757201646,0.9614824959342635,0.990273023021385
binary,1,43,0.3,none,Hybrid SVM-DT,0.9572222222222222,0.9572995567432862,0.8870073078390515,0.9901241073240341
binary,1,43,0.3,none,Hybrid KNN-SVM,0.9866666666666667,0.9866069667511975,0.9643406655088389,0.9913792539159919
binary,1,43,0.3,standard,DT,0.9511111111111111,0.9513544946630472,0.8717051551201306,0.9285605579592986
binary,1,43,0.3,standard,SVM,0.985,0.9849155790780901,0.9597944387270555,0.9914643486001924
binary,1,43,0.3,standard,KNN,0.9711111111111111,0.9706812625433315,0.9212301560585455,0.9907664085461247
binary,1,43,0.3,standard,XGBoost,0.9855555555555555,0.985512757201646,0.9614824959342635,0.990273023021385
binary,1,43,0.3,standard,Hybrid SVM-DT,0.9572222222222222,0.9572995567432862,0.8870073078390515,0.9900881057268722
binary,1,43,0.3,standard,Hybrid KNN-SVM,0.9833333333333333,0.9832071009062161,0.9551617167416185,0.9919454608531725
binary,1,43,0.3,minmax,DT,0.9511111111111111,0.9513544946630472,0.8717051551201306,0.9285605579592986
binary,1,43,0.3,minmax,SVM,0.9822222222222222,0.9821290109586067,0.9523841015805833,0.9911894273127754
binary,1,43,0.3,minmax,KNN,0.9716666666666667,0.9712569407661918,0.9228029102798269,0.9904792139869478
binary,1,43,0.3,minmax,XGBoost,0.9855555555555555,0.985512757201646,0.9614824959342635,0.990273023021385
binary,1,43,0.3,minmax,Hybrid SVM-DT,0.9572222222222222,0.9572995567432862,0.8870073078390515,0.9901257437602686
binary,1,43,0.3,minmax,Hybrid KNN-SVM,0.9838888888888889,0.9837731801414901,0.9566884054363519,0.9917523613774866
binary,1,43,0.3,robust,DT,0.9511111111111111,0.9513544946630472,0.8717051551201306,0.9285605579592986
binary,1,43,0.3,robust,SVM,0.985,0.9849155790780901,0.9597944387270555,0.9916132642975433
binary,1,43,0.3,robust,KNN,0.9705555555555555,0.9701050748693147,0.919655038824976,0.9907189518953203
binary,1,43,0.3,robust,XGBoost,0.9855555555555555,0.985512757201646,0.9614824959342635,0.990273023021385
binary,1,43,0.3,robust,Hybrid SVM-DT,0.9572222222222222,0.9572995567432862,0.8870073078390515,0.9901862919009499
binary,1,43,0.3,robust,Hybrid KNN-SVM,0.9838888888888889,0.9837731801414901,0.9566884054363519,0.9920371012823115
